,Ticker,Exchange,Industry,Supersector,Sector,Subsector,
"Air Products and Chemicals, Inc.",APD,"New York Stock Exchange, Inc.",Basic Materials,Chemicals,Chemicals,Specialty Chemicals,
Aluminum Corporation of China Limited ADR Class H,ACH,"New York Stock Exchange, Inc.",Basic Materials,Basic Resources,Industrial Metals and Mining,Aluminum,*
"Ashland Global Holdings, Inc.",ASH,"New York Stock Exchange, Inc.",Basic Materials,Chemicals,Chemicals,Chemicals: Diversified,
Atul Limited,500027,BSE LTD,Basic Materials,Chemicals,Chemicals,Chemicals: Diversified,
BHP Group Plc,BHP,London Stock Exchange,Basic Materials,Basic Resources,Industrial Metals and Mining,General Mining,
Braskem S.A. Pfd  A,BRKM5,"The B3 S.A. - Brasil, Bolsa, Balcão",Basic Materials,Chemicals,Chemicals,Specialty Chemicals,
"China Natural Resources, Inc.",CHNR,Nasdaq,Basic Materials,Basic Resources,Industrial Metals and Mining,Nonferrous Metals,
Clearwater Paper Corp.,CLW,"New York Stock Exchange, Inc.",Basic Materials,Basic Resources,Industrial Materials,Paper,
Companhia Siderurgica Nacional,CSNA3,"The B3 S.A. - Brasil, Bolsa, Balcão",Basic Materials,Basic Resources,Industrial Metals and Mining,Iron and Steel,
Eastman Chemical Company,EMN,"New York Stock Exchange, Inc.",Basic Materials,Chemicals,Chemicals,Chemicals: Diversified,
FMC Corp.,FMC,"New York Stock Exchange, Inc.",Basic Materials,Chemicals,Chemicals,Fertilizers,
"Freeport-McMoRan, Inc.",FCX,"New York Stock Exchange, Inc.",Basic Materials,Basic Resources,Industrial Metals and Mining,Copper,
"Fuwei Films (Holdings) Co., Ltd.",FFHL,Nasdaq,Basic Materials,Basic Resources,Industrial Materials,Diversified Materials,
Gerdau SA Pfd,GGBR4,"The B3 S.A. - Brasil, Bolsa, Balcão",Basic Materials,Basic Resources,Industrial Metals and Mining,Iron and Steel,
Glencore Plc,GLEN,London Stock Exchange,Basic Materials,Basic Resources,Industrial Metals and Mining,General Mining,
